index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Actb-74881516
424,68336,1107,63,35,24,3,3,3,8,0.07214539
425,68393,307,53,36,24,1,0,0,6,0.14932078
426,68394,661,54,36,24,0,0,4,10,0.16103967
427,68396,978,56,36,24,1,5,6,9,0.14206506
428,68397,978,57,36,24,1,5,6,9,0.14038734
429,68398,978,58,36,24,2,4,7,7,0.17228699
430,68399,307,59,36,24,2,2,2,2,0.17997935
431,68465,978,58,37,24,2,2,2,11,0.18868244
432,70538,136,54,27,25,1,5,6,9,0.1425041
433,70541,136,57,27,25,2,4,7,7,0.17089598
434,70542,136,58,27,25,2,4,7,7,0.17428504
435,70543,136,59,27,25,2,4,7,7,0.17073698
436,70544,136,60,27,25,2,4,7,7,0.17342322
437,70545,136,61,27,25,2,2,7,2,0.17654094
438,70546,136,62,27,25,2,2,2,2,0.17986049
439,70547,136,63,27,25,2,2,2,11,0.19055745
440,70548,136,64,27,25,2,2,7,2,0.1772997
441,70605,136,54,28,25,3,1,1,12,0.13094637
442,70608,136,57,28,25,0,0,0,0,0.15372849
443,70609,1048,58,28,25,0,0,0,10,0.15637569
444,70610,136,59,28,25,1,0,0,6,0.14951226
445,70611,136,60,28,25,0,0,0,0,0.15222608
446,70612,136,61,28,25,0,0,0,10,0.15736954
447,70613,136,62,28,25,0,0,0,10,0.15618367
448,70614,136,63,28,25,0,0,4,10,0.15978669
449,70615,136,64,28,25,0,0,0,10,0.15608667
450,70672,136,54,29,25,3,1,5,12,0.12878314
451,70673,136,55,29,25,3,1,5,12,0.12764071
452,70674,1048,56,29,25,3,1,5,5,0.1247443
453,70675,136,57,29,25,1,1,1,1,0.13331513
454,70676,1048,58,29,25,1,5,1,1,0.13842908
455,70677,136,59,29,25,1,5,1,9,0.13942774
456,70678,1048,60,29,25,1,5,6,9,0.14101318
457,70679,1048,61,29,25,1,5,6,9,0.14215215
458,70680,1107,62,29,25,1,5,6,9,0.14216872
459,70681,1107,63,29,25,1,5,6,6,0.14507581
460,70682,1107,64,29,25,1,5,6,6,0.14666542
461,70739,136,54,30,25,3,1,1,12,0.13079575
462,70740,136,55,30,25,3,1,1,12,0.13125393
463,70741,136,56,30,25,3,3,3,3,0.11399697
464,70742,1048,57,30,25,3,1,5,5,0.122782156
465,70743,1048,58,30,25,3,1,5,12,0.13000605
466,70744,1048,59,30,25,1,5,1,9,0.13939978
467,70745,1048,60,30,25,1,5,6,9,0.14026628
468,70746,1048,61,30,25,1,5,1,9,0.1394111
469,70747,1107,62,30,25,1,5,6,9,0.14403898
470,70748,1107,63,30,25,1,5,6,6,0.14776793
471,70749,1107,64,30,25,1,5,6,6,0.14628671
472,70806,1048,54,31,25,1,5,1,1,0.13639475
473,70807,136,55,31,25,1,1,1,1,0.13540693
474,70808,1048,56,31,25,3,3,5,3,0.115376525
475,70809,1048,57,31,25,3,1,5,5,0.12565988
476,70810,1048,58,31,25,3,1,5,12,0.12978509
477,70811,1048,59,31,25,1,5,1,1,0.13690612
478,70812,1048,60,31,25,1,1,1,1,0.13463524
479,70813,1048,61,31,25,1,5,1,1,0.13633445
480,70814,1107,62,31,25,1,5,6,9,0.14137067
481,70815,1107,63,31,25,1,5,6,9,0.14401229
482,70816,1107,64,31,25,1,5,6,9,0.1434429
483,70873,1048,54,32,25,1,5,6,9,0.14133899
484,70874,136,55,32,25,1,5,1,1,0.13551366
485,70875,1048,56,32,25,3,1,5,5,0.119859494
486,70876,1048,57,32,25,3,1,5,12,0.12998264
487,70877,1048,58,32,25,3,1,5,12,0.12988257
488,70878,1048,59,32,25,3,1,5,12,0.12994114
489,70879,1048,60,32,25,3,1,5,5,0.12207288
490,70880,1048,61,32,25,3,1,1,12,0.13169251
491,70881,1107,62,32,25,1,5,1,1,0.13705194
492,70882,1107,63,32,25,1,5,6,9,0.14308465
493,70883,1107,64,32,25,1,5,1,1,0.13572699
494,70940,1048,54,33,25,1,5,6,9,0.14424784
495,70941,1048,55,33,25,1,5,1,9,0.1390901
496,70942,1048,56,33,25,3,1,5,5,0.12627794
497,70943,1048,57,33,25,3,1,1,12,0.13091825
498,70944,1048,58,33,25,3,1,1,12,0.13242903
499,70945,1048,59,33,25,3,1,1,12,0.13154824
500,70947,1048,61,33,25,3,1,1,12,0.13116841
501,70948,1107,62,33,25,1,5,6,9,0.1400024
502,70949,1107,63,33,25,1,5,6,9,0.1431283
503,70950,1107,64,33,25,3,3,3,3,0.11041849
504,71006,307,53,34,25,1,5,6,9,0.141956
505,71007,1048,54,34,25,1,0,0,6,0.14954574
506,71008,978,55,34,25,1,5,6,6,0.14855929
507,71009,1048,56,34,25,3,1,1,12,0.1310434
508,71010,978,57,34,25,3,1,5,12,0.12720917
509,71011,1048,58,34,25,1,5,6,9,0.1406612
510,71012,307,59,34,25,1,0,6,6,0.14909922
511,71014,1048,61,34,25,1,5,6,9,0.14218315
512,71015,1107,62,34,25,1,5,1,9,0.1396765
513,71073,307,53,35,25,0,0,0,10,0.15689743
514,71075,978,55,35,25,0,0,4,10,0.15894108
515,71077,978,57,35,25,3,1,5,12,0.1280325
516,71078,307,58,35,25,1,0,0,6,0.14988676
517,71079,307,59,35,25,2,4,7,7,0.1711661
518,71080,307,60,35,25,0,0,0,10,0.15709688
519,71142,978,55,36,25,2,4,7,7,0.17048249
520,71145,307,58,36,25,2,4,7,7,0.17318285
521,73224,136,60,26,26,2,2,2,2,0.18458831
522,73288,970,57,27,26,2,2,2,2,0.1795585
523,73289,970,58,27,26,2,2,2,11,0.18515946
524,73290,136,59,27,26,2,2,2,2,0.18289304
525,73291,136,60,27,26,2,2,2,11,0.18599331
526,73292,136,61,27,26,2,2,7,2,0.17939939
527,73352,1048,54,28,26,1,5,1,9,0.13944522
528,73353,1048,55,28,26,1,0,0,6,0.1493419
529,73354,1048,56,28,26,0,4,4,4,0.16373527
530,73355,970,57,28,26,2,4,7,7,0.17099936
531,73356,1048,58,28,26,0,4,4,4,0.1674074
532,73357,1048,59,28,26,0,0,0,0,0.15545005
533,73358,1048,60,28,26,0,0,0,10,0.15745749
534,73359,1048,61,28,26,0,0,0,10,0.15642275
535,73360,773,62,28,26,0,0,0,0,0.15401752
536,73361,1107,63,28,26,0,4,4,4,0.1647662
537,73362,1107,64,28,26,0,0,4,10,0.16077726
538,73419,1048,54,29,26,3,1,5,12,0.12696163
539,73420,1048,55,29,26,1,1,1,1,0.13473092
540,73421,1048,56,29,26,1,5,6,9,0.1402847
541,73422,1048,57,29,26,1,5,6,6,0.14674039
542,73423,1048,58,29,26,1,5,6,9,0.14424221
543,73424,1048,59,29,26,1,5,1,1,0.13578314
544,73425,1048,60,29,26,1,5,1,1,0.13698784
545,73426,1048,61,29,26,1,5,6,9,0.14281145
546,73427,1107,62,29,26,1,5,6,6,0.14581566
547,73428,1107,63,29,26,1,0,0,6,0.1496156
548,73429,1107,64,29,26,1,0,0,6,0.14956935
549,73486,1048,54,30,26,3,1,5,5,0.12486999
550,73487,1048,55,30,26,3,1,1,12,0.13040857
551,73488,1048,56,30,26,3,1,5,5,0.12432986
552,73489,1048,57,30,26,3,1,5,12,0.12982674
553,73490,1048,58,30,26,1,1,1,1,0.13504212
554,73491,1048,59,30,26,3,1,5,12,0.12931825
555,73492,1048,60,30,26,3,1,5,5,0.123261906
556,73493,1048,61,30,26,3,1,1,12,0.13246848
557,73494,1107,62,30,26,1,5,6,6,0.1467687
558,73495,1107,63,30,26,1,5,6,6,0.14798953
559,73496,1107,64,30,26,1,5,6,9,0.14086543
560,73553,1048,54,31,26,3,1,1,12,0.13244747
561,73554,1048,55,31,26,1,5,1,1,0.13661087
